r1,r2,r3,r4,r5,r6,r7,r8,r9,label
1.172607,0.78371,0.835674,1.496225,1.066304,1.235037,0.276859,0.408564,0.937819,Heart
1.179338,0.795016,0.852049,1.483415,1.071738,1.214282,0.318686,0.34898,0.933064,Heart
1.254983,0.73122,0.834351,1.716287,1.141041,1.277489,0.295464,0.404358,0.876393,Heart
1.184488,0.780498,0.812438,1.517607,1.040923,1.255544,0.316693,0.355872,0.960686,Heart
1.195295,0.79569,0.833036,1.502212,1.046935,1.227954,0.312267,0.353634,0.955169,Heart
1.196962,0.77381,0.803593,1.546843,1.03849,1.267907,0.30351,0.358188,0.962937,Heart
1.186758,0.789152,0.844101,1.50384,1.069631,1.22455,0.300622,0.379527,0.934902,Heart
1.246793,0.784733,0.853038,1.588811,1.087043,1.221171,0.30667,0.348394,0.919927,Heart
1.240535,0.769505,0.875392,1.61212,1.137604,1.215881,0.293483,0.375753,0.87904,Heart
1.140593,0.77081,0.817874,1.479733,1.061058,1.258904,0.301342,0.365519,0.942455,Heart
1.220618,0.784297,0.842676,1.556322,1.074436,1.229277,0.292223,0.377685,0.930721,Heart
1.172399,0.77728,0.873507,1.508336,1.123799,1.211544,0.309635,0.36886,0.889839,Heart
1.207306,0.759031,0.836221,1.590588,1.101695,1.25372,0.30815,0.362269,0.907692,Heart
1.226426,0.786218,0.853706,1.559905,1.085839,1.219568,0.307053,0.365377,0.920947,Heart
1.254316,0.798316,0.852372,1.571203,1.067713,1.211616,0.30067,0.384641,0.936581,Heart
1.133663,0.757595,0.852321,1.496397,1.125036,1.2423,0.312519,0.332986,0.888861,Heart
1.188512,0.795051,0.832033,1.494888,1.046516,1.229193,0.276051,0.395623,0.955552,Heart
1.193169,0.793028,0.820612,1.504574,1.034783,1.239434,0.306367,0.364291,0.966387,Heart
1.19681,0.770682,0.825262,1.552922,1.07082,1.253177,0.305748,0.36727,0.933864,Heart
1.155074,0.77608,0.80538,1.488343,1.037753,1.264654,0.309538,0.331549,0.96362,Heart
1.160037,0.752415,0.866859,1.541752,1.152102,1.235122,0.326215,0.329502,0.867978,Heart
1.278299,0.762963,0.859867,1.675441,1.12701,1.232415,0.313613,0.335641,0.887304,Heart
1.194496,0.81251,0.854174,1.470131,1.051278,1.199987,0.302305,0.377926,0.951223,Heart
1.223195,0.8092,0.828829,1.511611,1.024257,1.22098,0.301402,0.359298,0.976318,Heart
1.179394,0.78396,0.790108,1.504406,1.007843,1.270593,0.314072,0.340841,0.992218,Heart
1.169277,0.772974,0.811522,1.512699,1.049869,1.262231,0.302557,0.345517,0.9525,Heart
1.220754,0.792174,0.799692,1.541018,1.009491,1.256387,0.311055,0.355887,0.990599,Heart
1.147985,0.789034,0.835505,1.454925,1.058896,1.231119,0.307701,0.340393,0.94438,Heart
1.213821,0.767043,0.810728,1.582468,1.056953,1.267611,0.31204,0.343954,0.946116,Heart
1.202627,0.75943,0.826831,1.583591,1.088752,1.260826,0.301684,0.347423,0.918483,Heart
1.176991,0.808299,0.796546,1.456133,0.98546,1.246226,0.304421,0.353376,1.014754,Heart
1.263238,0.793318,0.809222,1.592347,1.020047,1.248019,0.283826,0.393011,0.980347,Heart
1.176782,0.794079,0.813923,1.481944,1.024989,1.243779,0.308237,0.350287,0.97562,Heart
1.197573,0.798382,0.82239,1.5,1.030071,1.233979,0.308704,0.366017,0.970807,Heart
1.18207,0.793103,0.791783,1.490436,0.998335,1.26192,0.283549,0.424744,1.001668,Heart
1.153695,0.753994,0.889906,1.530113,1.180257,1.216619,0.337868,0.317122,0.847273,Heart
1.239149,0.739561,0.840286,1.675519,1.136195,1.265945,0.288347,0.403677,0.880131,Heart
1.185854,0.790076,0.83037,1.500936,1.051,1.234228,0.312739,0.340939,0.951475,Heart
1.244912,0.802695,0.834634,1.550916,1.03979,1.221502,0.297025,0.399891,0.961733,Heart
1.253548,0.798462,0.835992,1.569953,1.047003,1.22365,0.299661,0.361686,0.955107,Heart
1.232021,0.792137,0.83941,1.555313,1.059678,1.225831,0.294682,0.401039,0.943683,Heart
1.240925,0.808264,0.842357,1.535296,1.04218,1.211665,0.297704,0.404733,0.959527,Heart
1.182739,0.765687,0.817342,1.544676,1.067463,1.2634,0.309202,0.371995,0.936801,Heart
1.167268,0.795767,0.818141,1.466846,1.028116,1.239228,0.279524,0.427013,0.972653,Heart
1.233131,0.771445,0.847593,1.598469,1.098708,1.235302,0.305007,0.34747,0.91016,Heart
1.162094,0.789206,0.83478,1.472484,1.057746,1.231537,0.316358,0.352769,0.945406,Heart
1.161964,0.789002,0.804655,1.472702,1.019839,1.254976,0.321858,0.328455,0.980547,Heart
1.232524,0.768718,0.838704,1.60335,1.091043,1.244228,0.296594,0.40226,0.916555,Heart
1.23506,0.787975,0.818598,1.567384,1.038863,1.244886,0.282136,0.429631,0.962591,Heart
1.193619,0.788268,0.824261,1.51423,1.045662,1.240288,0.286784,0.42642,0.956332,Heart
1.223538,0.756846,0.844592,1.616628,1.115937,1.248878,0.308467,0.370057,0.896108,Heart
1.161373,0.787319,0.821228,1.475098,1.043068,1.243358,0.290593,0.379076,0.95871,Heart
1.218206,0.764832,0.875576,1.592777,1.144796,1.219209,0.315151,0.350548,0.873518,Heart
1.176143,0.791465,0.836896,1.486032,1.057401,1.228229,0.299279,0.378334,0.945715,Heart
1.249955,0.792068,0.826103,1.57809,1.04297,1.235964,0.302413,0.380269,0.958801,Heart
1.216551,0.784817,0.822196,1.550107,1.047627,1.244545,0.297925,0.403469,0.954538,Heart
1.165287,0.770316,0.841228,1.512738,1.092056,1.241045,0.321603,0.337387,0.915704,Heart
1.192231,0.800314,0.837786,1.489703,1.046822,1.220926,0.311724,0.333936,0.955272,Heart
1.217788,0.80152,0.839876,1.519348,1.047855,1.218475,0.297207,0.379052,0.954331,Heart
1.141788,0.799798,0.842893,1.427596,1.053883,1.217515,0.312652,0.349891,0.948872,Heart
1.147826,0.773962,0.834828,1.483052,1.078642,1.24317,0.310698,0.363636,0.927092,Heart
1.274069,0.802736,0.856395,1.587158,1.066844,1.20545,0.297096,0.365803,0.937344,Heart
1.196355,0.738345,0.888254,1.620321,1.203035,1.229559,0.320273,0.328457,0.831231,Heart
1.224789,0.782478,0.848385,1.565269,1.084228,1.226344,0.308881,0.374745,0.922316,Heart
1.18513,0.777483,0.840018,1.524316,1.080433,1.236476,0.293776,0.386925,0.925555,Heart
1.167014,0.768389,0.841709,1.518779,1.09542,1.24216,0.310032,0.348764,0.912892,Heart
1.205,0.754049,0.885926,1.59804,1.174893,1.219531,0.312883,0.340078,0.851141,Heart
1.154482,0.777507,0.856508,1.48485,1.101608,1.223979,0.306268,0.357865,0.907764,Heart
1.230165,0.777407,0.856835,1.582395,1.10217,1.223809,0.295896,0.381285,0.907301,Heart
1.185831,0.778357,0.850567,1.523505,1.092772,1.227804,0.304307,0.360889,0.915104,Heart
1.254113,0.770593,0.879974,1.627465,1.141944,1.211705,0.309667,0.365454,0.8757,Heart
1.185805,0.774782,0.881902,1.530502,1.138258,1.207231,0.322276,0.336862,0.878535,Heart
1.183611,0.773701,0.844779,1.529803,1.091866,1.235727,0.309386,0.345359,0.915863,Heart
1.188421,0.775395,0.88422,1.532665,1.140348,1.205099,0.304918,0.359567,0.876926,Heart
1.225565,0.777905,0.864683,1.575469,1.111553,1.217591,0.308294,0.358704,0.899642,Heart
1.211542,0.798101,0.854422,1.518031,1.07057,1.210271,0.306143,0.376187,0.934082,Heart
1.205023,0.78097,0.847968,1.542981,1.085788,1.227793,0.313487,0.359132,0.92099,Heart
1.174785,0.775086,0.873618,1.515684,1.127124,1.213075,0.306015,0.35725,0.887214,Heart
1.256298,0.790714,0.871722,1.588815,1.10245,1.203054,0.311828,0.365591,0.907071,Heart
1.30707,0.763796,0.866437,1.71128,1.134382,1.226818,0.30126,0.361489,0.881537,Heart
1.186668,0.747205,0.901081,1.588143,1.205936,1.213381,0.319008,0.348352,0.829231,Heart
1.160903,0.749773,0.856338,1.548339,1.142129,1.245244,0.321181,0.337519,0.875558,Heart
1.185555,0.77421,0.887105,1.531309,1.145819,1.203866,0.3265,0.340173,0.872739,Heart
1.16304,0.783988,0.842374,1.483492,1.074473,1.229738,0.309447,0.364335,0.930689,Heart
1.196855,0.810739,0.858505,1.476251,1.058916,1.198147,0.322185,0.329283,0.944362,Heart
1.178248,0.770522,0.835706,1.529155,1.084598,1.245153,0.30036,0.390125,0.922001,Heart
1.22772,0.794412,0.839434,1.545446,1.056674,1.224105,0.294125,0.389131,0.946366,Heart
1.183497,0.754744,0.826342,1.568077,1.094864,1.264953,0.305118,0.365167,0.913355,Heart
1.22152,0.809316,0.850901,1.509325,1.051383,1.204662,0.280157,0.400494,0.951128,Heart
1.234853,0.774563,0.803884,1.594258,1.037855,1.267068,0.299249,0.390484,0.963525,Heart
1.205746,0.78453,0.860102,1.536903,1.096328,1.216078,0.320837,0.325805,0.912136,Heart
1.213233,0.75752,0.845194,1.601585,1.115738,1.247883,0.296394,0.376037,0.896268,Heart
1.184583,0.788079,0.843053,1.503127,1.069757,1.226142,0.309246,0.371888,0.934792,Heart
1.268889,0.801602,0.843779,1.582942,1.052616,1.215525,0.31356,0.358278,0.950014,Heart
1.150497,0.760512,0.834608,1.512794,1.097429,1.253825,0.319074,0.335274,0.91122,Heart
1.217085,0.790415,0.834636,1.539806,1.055947,1.230731,0.307877,0.361178,0.947017,Heart
1.135105,0.773543,0.840008,1.467409,1.085923,1.239501,0.307315,0.343048,0.920876,Heart
1.21885,0.799117,0.834497,1.525245,1.044273,1.224279,0.295489,0.387934,0.957604,Heart
1.26908,0.782346,0.861041,1.622148,1.100588,1.216999,0.310073,0.347755,0.908605,Heart
1.172653,0.768231,0.831853,1.526433,1.082815,1.249934,0.321719,0.337199,0.923519,Heart
1.180494,0.78264,0.830643,1.508348,1.061335,1.239708,0.303897,0.369957,0.94221,Heart
1.188422,0.763658,0.859618,1.556223,1.125658,1.232077,0.317362,0.343488,0.888369,Heart
1.144026,0.77374,0.8452,1.478567,1.092357,1.235376,0.329707,0.32251,0.915452,Heart
1.198819,0.792404,0.807017,1.512889,1.018441,1.250453,0.293674,0.393187,0.981893,Heart
1.169033,0.795053,0.842557,1.470385,1.059751,1.221292,0.301917,0.381519,0.943618,Heart
1.207706,0.775661,0.862742,1.557002,1.112267,1.220701,0.311793,0.347789,0.899065,Heart
1.128286,0.782364,0.842193,1.44215,1.076473,1.231105,0.307093,0.377079,0.92896,Heart
1.156238,0.758453,0.849433,1.524468,1.119954,1.243869,0.321042,0.330312,0.892894,Heart
1.232708,0.772366,0.82327,1.596016,1.065906,1.253419,0.311238,0.341008,0.938169,Heart
1.202788,0.783479,0.853126,1.53519,1.088895,1.222042,0.313948,0.354836,0.918362,Heart
1.155564,0.776584,0.828899,1.488009,1.067366,1.245731,0.333317,0.310164,0.936886,Heart
1.205455,0.789426,0.85214,1.527002,1.079442,1.218349,0.311633,0.350933,0.926405,Heart
1.20193,0.778912,0.848587,1.543088,1.089452,1.228879,0.308244,0.352375,0.917893,Heart
1.209323,0.768947,0.83808,1.572699,1.089906,1.244534,0.312488,0.331248,0.917511,Heart
1.187894,0.801257,0.878628,1.482538,1.096562,1.190557,0.315022,0.336205,0.911941,Heart
1.288125,0.778144,0.863947,1.655381,1.110267,1.217959,0.29964,0.356915,0.900684,Heart
1.154292,0.755581,0.871651,1.527687,1.153617,1.229081,0.319718,0.327039,0.866839,Heart
1.20627,0.789225,0.826991,1.528424,1.047853,1.237458,0.298884,0.380487,0.954332,Heart
1.181839,0.790364,0.842691,1.49531,1.066207,1.224699,0.311217,0.352078,0.937905,Heart
1.18298,0.78183,0.822975,1.51309,1.052626,1.246257,0.306262,0.360294,0.950005,Heart
1.192445,0.792164,0.838989,1.5053,1.05911,1.226127,0.314169,0.345339,0.944189,Heart
1.176854,0.782502,0.836729,1.503962,1.069299,1.235154,0.306326,0.358342,0.935192,Heart
1.195668,0.798312,0.87127,1.497745,1.09139,1.197904,0.316095,0.341896,0.916263,Heart
1.177816,0.782763,0.831949,1.50469,1.062836,1.23861,0.32135,0.32918,0.940879,Heart
1.226834,0.763387,0.87006,1.607092,1.139736,1.224404,0.311046,0.350479,0.877396,Heart
1.191239,0.781409,0.836125,1.524476,1.070021,1.23645,0.307339,0.344067,0.934561,Heart
1.177153,0.778837,0.840161,1.511423,1.078737,1.235332,0.318386,0.337514,0.92701,Heart
1.191167,0.786778,0.845597,1.513981,1.07476,1.225209,0.308698,0.358071,0.93044,Heart
1.179514,0.821607,0.801493,1.435618,0.975519,1.23221,0.302099,0.379053,1.025095,Heart
1.172414,0.766306,0.851615,1.529955,1.111325,1.236154,0.294225,0.369056,0.899826,Heart
1.197398,0.79248,0.84453,1.510949,1.06568,1.221739,0.311482,0.355999,0.938368,Heart
1.282051,0.786511,0.854872,1.63005,1.086917,1.218485,0.306667,0.366727,0.920033,Heart
1.144819,0.758133,0.864978,1.510049,1.140931,1.232201,0.316969,0.331076,0.876477,Heart
1.207274,0.75858,0.848223,1.591493,1.118173,1.244708,0.314209,0.337199,0.894316,Heart
1.224094,0.792424,0.842664,1.544746,1.0634,1.223176,0.301116,0.374438,0.94038,Heart
1.148429,0.764721,0.849655,1.501762,1.111066,1.238868,0.31917,0.351248,0.900037,Heart
1.191249,0.777103,0.817483,1.532936,1.051962,1.254244,0.304397,0.367734,0.950605,Heart
1.175308,0.776295,0.83986,1.513997,1.081883,1.237505,0.313871,0.341985,0.924315,Heart
1.226392,0.773842,0.840725,1.584809,1.086429,1.238722,0.316426,0.351119,0.920447,Heart
1.24356,0.823891,0.856524,1.509375,1.039609,1.190182,0.29122,0.399006,0.9619,Heart
1.195207,0.786647,0.844805,1.519369,1.073931,1.225902,0.283594,0.368152,0.931159,Heart
1.231923,0.776569,0.837288,1.586366,1.078188,1.239267,0.283456,0.381083,0.927482,Heart
1.206646,0.791263,0.849059,1.524963,1.073044,1.219273,0.301769,0.376976,0.931928,Heart
1.199692,0.794416,0.877007,1.510155,1.103964,1.196585,0.302748,0.365722,0.905827,Heart
1.230052,0.788778,0.839927,1.55944,1.064846,1.22797,0.301074,0.363546,0.939103,Heart
1.185108,0.777933,0.833127,1.523405,1.07095,1.241418,0.296663,0.375253,0.933751,Heart
1.188567,0.792571,0.816351,1.499635,1.030003,1.243069,0.302288,0.382615,0.970871,Heart
1.184299,0.755358,0.883878,1.567865,1.170145,1.220081,0.323206,0.324945,0.854595,Heart
1.154114,0.767039,0.853025,1.504636,1.112101,1.234519,0.332306,0.313659,0.899199,Heart
1.157027,0.76494,0.872667,1.512571,1.14083,1.221294,0.305027,0.347671,0.876555,Heart
1.186455,0.794093,0.850592,1.494102,1.071149,1.216039,0.305862,0.346903,0.933577,Heart
1.16651,0.783963,0.827085,1.487967,1.055005,1.241429,0.32073,0.345642,0.947863,Heart
1.173174,0.779292,0.877679,1.505435,1.126252,1.207021,0.287127,0.376341,0.887901,Heart
1.225242,0.76563,0.845277,1.600306,1.104029,1.241537,0.31244,0.329958,0.905773,Heart
1.185626,0.781107,0.845891,1.51788,1.082939,1.229258,0.332037,0.316564,0.923413,Heart
1.186586,0.774017,0.802066,1.533024,1.036238,1.268969,0.299879,0.365807,0.965029,Heart
1.256281,0.782123,0.840397,1.606246,1.074509,1.23265,0.291961,0.381374,0.930658,Heart
1.168397,0.749293,0.848547,1.559334,1.132464,1.25169,0.31047,0.337857,0.883031,Heart
1.232853,0.795434,0.821804,1.549912,1.033152,1.236676,0.290846,0.399299,0.967912,Heart
1.153804,0.769393,0.83762,1.49963,1.088677,1.244545,0.311111,0.355633,0.918546,Heart
1.217057,0.80634,0.837389,1.509359,1.038507,1.216745,0.31177,0.359693,0.962921,Heart
1.23703,0.74971,0.848455,1.650012,1.131711,1.251436,0.303028,0.357127,0.883618,Heart
1.215264,0.76563,0.859245,1.587273,1.122272,1.230864,0.28435,0.400885,0.891049,Heart
1.193138,0.796872,0.840452,1.497276,1.054688,1.221505,0.323899,0.327942,0.948148,Heart
1.257825,0.75257,0.820701,1.671373,1.090531,1.271237,0.285724,0.379535,0.916985,Heart
1.158072,0.76816,0.821827,1.507592,1.069865,1.257872,0.302271,0.36307,0.934697,Heart
1.224629,0.754468,0.839402,1.623168,1.112574,1.254807,0.302347,0.357289,0.898817,Heart
1.160102,0.76798,0.878219,1.510589,1.143544,1.21492,0.314254,0.342766,0.874475,Heart
1.17324,0.765173,0.868407,1.5333,1.134916,1.224304,0.330748,0.314486,0.881123,Heart
1.139349,0.75891,0.853494,1.501297,1.124632,1.240384,0.323793,0.326091,0.88918,Heart
1.222675,0.75795,0.894922,1.613133,1.180713,1.210015,0.306695,0.351654,0.846946,Heart
1.183874,0.768554,0.867966,1.54039,1.129349,1.222105,0.307651,0.361212,0.885466,Heart
1.166422,0.769407,0.821125,1.516001,1.067218,1.257441,0.290474,0.38692,0.937016,Heart
1.207851,0.805642,0.806463,1.499241,1.00102,1.240614,0.291256,0.372211,0.998982,Heart
1.165016,0.752503,0.859084,1.548188,1.141636,1.241012,0.311088,0.366449,0.875936,Heart
1.197529,0.769997,0.840297,1.555239,1.0913,1.242009,0.308965,0.346433,0.916339,Heart
1.169602,0.792153,0.823116,1.476485,1.039087,1.238184,0.318797,0.33553,0.962384,Heart
1.225333,0.779442,0.83757,1.572064,1.074577,1.236849,0.313636,0.347227,0.930599,Heart
1.109823,0.807242,0.818057,1.374833,1.013398,1.230542,0.322376,0.347158,0.98678,Heart
1.22679,0.811212,0.83843,1.512293,1.033553,1.212384,0.295747,0.38118,0.967536,Heart
1.214825,0.783632,0.831935,1.550249,1.06164,1.237955,0.31107,0.354858,0.941939,Heart
1.149415,0.793383,0.811651,1.448751,1.023025,1.24608,0.285831,0.411444,0.977493,Heart
1.209467,0.785341,0.834595,1.540052,1.062716,1.234616,0.29093,0.387873,0.940985,Heart
1.214547,0.779832,0.850362,1.557447,1.090443,1.226848,0.311179,0.353545,0.917059,Heart
1.200304,0.768149,0.813026,1.562592,1.058422,1.264881,0.290621,0.370388,0.944802,Heart
1.183432,0.79451,0.85006,1.489513,1.069917,1.216124,0.30517,0.357266,0.934652,Heart
1.170233,0.806226,0.832451,1.451495,1.032528,1.220497,0.312078,0.366377,0.968497,Heart
1.162014,0.767398,0.825136,1.514225,1.075239,1.25586,0.292014,0.367316,0.930026,Heart
1.124271,0.773736,0.854023,1.453041,1.103765,1.228683,0.331106,0.324873,0.90599,Heart
1.186077,0.780788,0.825802,1.519076,1.057652,1.244873,0.307872,0.360709,0.945491,Heart
1.208559,0.770061,0.864837,1.569434,1.123076,1.223318,0.308315,0.345144,0.890411,Heart
1.21207,0.777754,0.833352,1.558422,1.071485,1.241383,0.287528,0.395918,0.933284,Heart
1.202283,0.777882,0.829107,1.545586,1.065852,1.244564,0.303054,0.366216,0.938216,Heart
1.235885,0.797605,0.826739,1.549494,1.036527,1.231266,0.30246,0.380728,0.964761,Heart
1.243177,0.765402,0.83468,1.624215,1.090512,1.249936,0.307742,0.370593,0.917,Heart
1.107018,0.762611,0.833054,1.451616,1.092371,1.253396,0.301109,0.386784,0.91544,Heart
1.222905,0.777937,0.81517,1.571984,1.047861,1.255408,0.278618,0.407265,0.954325,Heart
1.189266,0.773823,0.822893,1.536872,1.063413,1.252571,0.315747,0.369507,0.940369,Heart
1.269087,0.795026,0.842095,1.596284,1.059204,1.221657,0.281255,0.40549,0.944105,Heart
1.177976,0.78359,0.859786,1.503306,1.09724,1.217006,0.31216,0.343818,0.911378,Heart
1.214789,0.780567,0.846941,1.556291,1.085033,1.228873,0.293767,0.402672,0.921631,Heart
1.194718,0.798363,0.833242,1.496459,1.043688,1.225787,0.314672,0.364758,0.95814,Heart
1.155851,0.787089,0.853106,1.468513,1.083875,1.219367,0.284639,0.399871,0.922616,Heart
1.203074,0.752768,0.860595,1.5982,1.143241,1.239647,0.307938,0.344437,0.874706,Heart
1.191722,0.784739,0.836256,1.518622,1.065648,1.23381,0.292506,0.403891,0.938396,Heart
1.258479,0.738446,0.843825,1.704226,1.142704,1.264006,0.298543,0.379368,0.875118,Heart
1.18533,0.774261,0.854766,1.530918,1.103976,1.227727,0.319728,0.346939,0.905817,Heart
1.30239,0.752672,0.856926,1.730356,1.138512,1.242547,0.299436,0.354313,0.87834,Heart
1.255777,0.769009,0.868888,1.63298,1.129879,1.221078,0.308584,0.378067,0.88505,Heart
1.201406,0.762295,0.859959,1.576039,1.128119,1.232853,0.319896,0.345229,0.886432,Heart
1.189384,0.787318,0.851853,1.510679,1.081969,1.220129,0.308523,0.36818,0.924241,Heart
1.197738,0.774973,0.826955,1.545522,1.067076,1.248495,0.319018,0.336308,0.937141,Heart
1.208535,0.766594,0.845422,1.576499,1.102828,1.240682,0.313419,0.344217,0.906759,Heart
1.197713,0.772284,0.8503,1.550872,1.101021,1.232602,0.295498,0.396054,0.908248,Heart
1.168063,0.784486,0.840488,1.488954,1.071387,1.230789,0.311104,0.333776,0.933369,Heart
1.219527,0.762293,0.847561,1.599815,1.111858,1.242349,0.310036,0.350567,0.899396,Heart
1.180119,0.790894,0.825113,1.492133,1.043267,1.237618,0.310386,0.364483,0.958528,Heart
1.190464,0.782143,0.833015,1.522055,1.065043,1.238269,0.29654,0.363354,0.938929,Heart
1.186564,0.805937,0.844003,1.472279,1.047233,1.212165,0.286629,0.40755,0.954898,Heart
1.236468,0.785548,0.800121,1.57402,1.018552,1.261297,0.307908,0.35716,0.981786,Heart
1.154025,0.754042,0.847009,1.530452,1.123293,1.249179,0.317341,0.327343,0.89024,Heart
1.204058,0.815925,0.836047,1.475696,1.024662,1.210674,0.293395,0.400987,0.975932,Heart
1.171854,0.770745,0.837317,1.520417,1.086374,1.243733,0.28173,0.391829,0.920494,Heart
1.192949,0.79063,0.813773,1.508859,1.029272,1.24657,0.310024,0.374126,0.97156,Heart
1.179302,0.776127,0.820268,1.51947,1.056873,1.252823,0.316259,0.335585,0.946187,Heart
1.162885,0.791294,0.845703,1.469599,1.06876,1.221749,0.314977,0.369049,0.935664,Heart
1.183074,0.798337,0.798706,1.481922,1.000462,1.252314,0.294565,0.403089,0.999538,Heart
1.162052,0.76575,0.840719,1.517535,1.097903,1.244967,0.309804,0.362291,0.910827,Heart
1.156942,0.780232,0.848261,1.482817,1.08719,1.228129,0.319918,0.338307,0.919803,Heart
1.216747,0.772657,0.829172,1.574756,1.073143,1.248573,0.298585,0.368226,0.931842,Heart
1.190824,0.785812,0.81155,1.515406,1.032753,1.252064,0.281164,0.426496,0.968285,Heart
